,glo_avg,dir_avg,diff_avg,lw_avg,par_avg,lux_avg,tp_sfc,humid,press,rain,ws_10m,wd_10m
7938,789.0,750.0,195.7,377.3,1567.0,79.7,23.82,70.5,905.44,0.0,1.947,13.4
7939,801.0,743.0,218.8,382.2,1661.0,84.1,23.77,70.4,905.5,0.0,1.767,29.4
7940,929.0,861.0,249.8,389.0,1881.0,95.3,23.81,69.8,905.38,0.0,1.919,23.3
7941,947.0,797.0,312.1,396.0,1921.0,97.3,23.89,71.4,905.44,0.0,1.898,4.5
7942,611.9,292.3,367.2,402.3,1209.0,61.1,23.94,71.4,905.38,0.0,2.354,26.6
7943,365.1,6.349,353.1,404.6,739.0,37.15,24.1,70.3,905.44,0.0,2.31,15.2
7944,615.4,335.8,345.8,407.9,1285.0,64.92,24.04,70.6,905.44,0.0,2.173,5.7
7945,962.0,777.0,331.7,407.3,1917.0,97.3,23.9,71.3,905.44,0.0,2.132,359.2
7946,915.0,734.0,316.5,401.2,1859.0,94.0,23.99,70.3,905.43,0.0,2.526,41.7
7947,921.0,750.0,308.0,394.7,1884.0,95.3,24.13,69.94,905.43,0.0,3.1060000000000003,35.7
7948,992.0,846.0,299.7,393.1,2015.0,102.0,24.08,67.26,905.49,0.0,3.012,23.5
7949,960.0,789.0,307.9,393.3,1953.0,98.9,24.22,69.04,905.55,0.0,2.825,21.1
7950,921.0,766.0,288.8,392.5,1872.0,94.7,24.28,68.67,905.49,0.0,2.568,30.6
7951,720.0,530.5,275.9,387.6,1469.0,74.3,24.45,68.64,905.55,0.0,2.787,26.5
7952,795.0,645.7,258.7,384.1,1645.0,82.7,24.43,65.56,905.55,0.0,2.103,28.8
7953,904.0,766.0,266.7,385.0,1846.0,93.4,24.36,67.98,905.55,0.0,2.524,10.7
7954,941.0,805.0,268.6,388.1,1910.0,96.5,24.39,65.74,905.48,0.0,2.47,14.4
7955,993.0,848.0,282.5,390.2,2006.0,101.4,24.38,67.89,905.48,0.0,1.754,22.4
7956,957.0,790.0,289.7,392.2,1950.0,98.5,24.49,69.99,905.42,0.0,2.812,25.2
7957,1045.0,877.0,306.9,397.7,2116.0,106.7,24.59,66.34,905.48,0.0,2.786,29.8
7958,1064.0,882.0,318.1,403.9,2155.0,108.6,24.54,67.73,905.42,0.0,2.716,24.7
7959,835.0,585.3,330.1,407.4,1659.0,83.7,24.52,65.93,905.48,0.0,2.2430000000000003,34.3
7960,684.7,374.3,358.4,407.7,1418.0,71.3,24.43,67.06,905.41,0.0,1.99,49.0
7961,850.0,538.5,381.0,405.2,1756.0,88.4,24.47,65.42,905.41,0.0,2.502,52.7
7962,1087.0,885.0,328.0,401.6,2206.0,111.0,24.44,66.91,905.35,0.0,2.742,45.7
7963,1047.0,886.0,285.7,401.6,2125.0,106.9,24.49,67.49,905.41,0.0,2.725,53.0
7964,1041.0,885.0,280.9,403.2,2114.0,106.4,24.59,68.57,905.35,0.0,2.504,49.5
7965,1029.0,817.0,321.1,405.4,2091.0,105.2,24.61,66.45,905.41,0.0,2.272,52.2
